id,season,match_no,date,player_name,comment,R,B,M,fours,sixs,SR
4,2011/12,29th,Feb 27 2012,Imran Nazir,c †Mushfiqur Rahim b Ervine,2,4,-,0,0,50.00
9,2011/12,24th,Feb 24 2012,Marlon Samuels,c Trego b Abul Hasan,6,10,16,1,0,60.00
3,2011/12,30th,Feb 27 2012,Shivnarine Chanderpaul,run out (Shuvagata Hom/Styris),4,2,-,1,0,200.00
2,2011/12,1st,Feb 28 2012,Shahzaib Hasan,c Farhad Hossain b Yasir Arafat,2,3,2,0,0,66.66
1,2011/12,2nd,Feb 28 2012,Imran Nazir,c Gibbs b Mohammad Hafeez,41,25,33,6,2,164.00
8,2011/12,25th,Feb 25 2012,Phil Mustard,c Imran Nazir b Mohammad Ashraful,33,23,39,2,2,143.47
7,2011/12,26th,Feb 25 2012,Alok Kapali,not out ,1,2,6,0,0,50.00
6,2011/12,27th,Feb 26 2012,Shakib Al Hasan, b Saqlain Sajib,11,6,7,2,0,183.33
13,2011/12,20th,Feb 20 2012,Shakib Al Hasan,c Arafat Sunny b Enamul Haque jnr,14,13,-,2,0,107.69
12,2011/12,21st,Feb 22 2012,Peter Trego,c †Anamul Haque b Naved-ul-Hasan,35,33,-,4,0,106.06
10,2011/12,23rd,Feb 24 2012,Jason Roy,c & b Elias Sunny,18,17,32,1,1,105.88
11,2011/12,22nd,Feb 22 2012,Shakib Al Hasan,st †Mustard b Hodge,0,3,-,0,0,0.00
5,2011/12,28th,Feb 26 2012,Ziaur Rahman,st †Mustard b Al-Amin Hossain,24,13,20,4,1,184.61
4,2011/12,29th,Feb 27 2012,Nazimuddin, b Saqlain Sajib,26,24,-,2,1,108.33
9,2011/12,24th,Feb 24 2012,Mushfiqur Rahim,lbw b Abul Hasan,0,5,4,0,0,0.00
3,2011/12,30th,Feb 27 2012,Herschelle Gibbs, b Styris,41,28,-,6,1,146.42
2,2011/12,1st,Feb 28 2012,Junaid Siddique, b Yasir Arafat,0,1,4,0,0,0.00
1,2011/12,2nd,Feb 28 2012,Awais Zia,c Nazmul Hossain Milon b Shakib Al Hasan,5,6,9,1,0,83.33
8,2011/12,25th,Feb 25 2012,Mohammad Mithun,not out ,24,24,36,0,1,100.00
7,2011/12,26th,Feb 25 2012,Nasir Jamshed,c Abul Hasan b Nabil Samad,27,29,47,2,0,93.10
6,2011/12,27th,Feb 26 2012,Nasir Hossain,c Sabbir Rahman b Ervine,5,7,11,1,0,71.42
13,2011/12,20th,Feb 20 2012,Niall O'Brien, b Enamul Haque jnr,0,1,-,0,0,0.00
12,2011/12,21st,Feb 22 2012,Scott Styris,st †Anamul Haque b Elias Sunny,4,10,-,0,0,40.00
10,2011/12,23rd,Feb 24 2012,Dwayne Bravo,not out ,48,43,55,2,2,111.62
